sample, moisture, knotratio, treering, Edyn, density, beamheight, Estat, bstrength
units,%,-,mm,N/mm2,kg/m3,mm,N/mm2,N/mm2
DO1,13.3,0.04,3,14053,675,101,15452,58.4
DO7,12.5,0.32,3.67,16523,592,100,16152,58.19
DO15,13.1,0.03,2.23,18065,589,101,17428,67.08
DO22,12.5,0.18,2.06,19467,670,100,17352,86.85
DO29,12.6,0.13,2.18,18700,656,100,16672,65.2
DO43,11.9,0.34,2.72,11400,596,100,9088,42.23
DO50,12.6,0.33,2.7,14685,579,100,14148,59.56
DO57,13.2,0.05,5.05,14478,507,101,12552,64.95
DO64,12,0.33,2.89,11390,484,103,10808,49.45
DO71,12.8,0.15,2.22,16265,687,102,13344,67.52
DO78,12.6,0.32,2.21,15009,555,101,13512,54.61
DO84,11.9,0.12,3.83,11037,525,102,11368,53.38
DO91,12.5,0.19,4.5,15219,511,99,14492,72.11
DO98,12.7,0.43,3.63,14002,543,101,11600,57.28
DO105,14,0.16,4.29,14733,555,193,12836,52.82
DO112,12.4,0.33,2.67,17336,605,193,12972,36.07
DO119,14.8,0.3,3.04,13729,562,193,12284,30.14
DO126,15,0.33,3.78,16232,652,193,13960,44.37
DO133,14,0.29,2.72,12797,478,193,13416,36.76
DO140,13.3,0.15,4.71,14297,542,134,12736,58.9
DO147,14.2,0.14,3.35,19464,642,134,18804,58.65
DO154,13.6,0.32,4.64,15637,572,134,14492,52.44
DO162,13.3,0.35,4.55,14903,539,133,13092,43.45
DO168,12.6,0.4,4.1,17531,632,134,17948,60.53
DO189,13.7,0.14,5.54,12733,544,137,11424,61.49
DO196,12.5,0.26,4.45,11012,625,137,6856,21.87
DO203,13.4,0.35,3.96,14163,613,136,6796,24.92
DO210,14.5,0.41,6.05,10785,593,137,7100,16.33
DO217,12.1,0.45,4.59,11526,538,136,9212,40.92
DO224,13.5,0.49,5.61,11007,526,172,9776,31.15
DO230,15.2,0.18,3.87,13746,604,173,14320,48.34
DO231,14.7,0.24,4.85,13040,617,171,14776,62.04
DO238,14.6,0.49,5,11680,509,171,11596,40.45
DO245,15.5,0.04,2.85,14244,585,167,14776,63.53
DO252,13.5,0.2,3.81,13062,552,161,11984,52.35
DO266,15.7,0.26,2.48,20121,702,166,18676,42.44
DO272,15.9,0.16,3.72,19385,737,166,18912,62.79
DO279,13.8,0.24,2.9,13013,581,167,12560,49.13
DO286,15.2,0.33,4.06,15728,621,167,15980,52.62
DO293,14.3,0.26,3.54,13489,652,166,11228,49.6
DO300,14.6,0.34,2.4,9790,781,193,12824,45.7
DO306,14.8,0.23,4.96,11494,565,193,10244,50.9
DO313,13.5,0.29,4.29,12104,572,193,11592,33.8
DO320,13.3,0.15,4.55,11579,516,192,11244,32.9
DO325,13.8,0.21,2.9,12572,589,192,14428,55.4
DO332,14.2,0.21,4.54,11461,497,192,10684,36.3
DO339,13.6,0.18,5.88,9449,457,197,9484,26.8
DO342,14.5,0.34,5.72,11753,491,196,10488,37.5
DO348,14.8,0.37,3.43,12455,539,198,11228,32.7
DO360,12.9,0.19,5.16,14075,532,175,14124,48.7
