sample, moisture, knotratio, treering, Edyn, density, beamheight, Estat, bstrength
units,%,-,mm,N/mm2,kg/m3,mm,N/mm2,N/mm2
DO3,12.8,0.14,3.88,18846,596,99,18456,49.82
DO10,11.7,0.25,3,15683,540,101,16628,60.28
DO12,11.9,0.11,1.96,19792,646,101,19212,81.88
DO17,12.6,0.07,2.81,11282,614,102,10132,55.54
DO22,12.5,0.18,2.06,19467,670,100,17352,86.85
DO28,12.5,0.15,2.41,19119,549,100,15640,80.37
DO33,12.3,0.09,2.92,15130,686,102,14020,75.67
DO39,11.8,0.12,3.78,18652,582,100,17320,67.87
DO44,12,0.28,4.22,14695,511,102,11988,48.48
DO50,12.6,0.33,2.7,14685,579,100,14148,59.56
DO56,12.2,0.19,2.5,11025,583,104,9692,30.93
DO62,12.2,0.3,3.07,11115,524,101,10168,47.5
DO66,12.8,0.17,3.54,13324,502,103,15200,73.5
DO68,12.8,0.19,4.36,9858,493,101,10016,35.86
DO73,12.8,0.21,4.14,12544,565,102,10168,43.41
DO78,12.6,0.32,2.21,15009,555,101,13512,54.61
DO83,11.9,0.46,2.9,10310,495,102,9488,35.29
DO88,12.9,0.37,3.08,9778,465,103,7780,30.87
DO93,12.6,0.09,4.43,13100,569,103,13472,62.72
DO98,12.7,0.43,3.63,14002,543,101,11600,57.28
DO103,14.3,0.09,3.78,16351,595,193,15640,49.12
DO108,15.1,0.17,3.69,16461,628,193,14104,50.89
DO113,14.6,0.27,3.14,15742,644,193,15744,49.11
DO118,15.3,0.22,4.11,14966,643,193,14728,49.62
DO123,14,0.31,4.5,11813,529,193,11164,25.6
DO124,15.3,0.24,4.4,14934,602,193,12048,47.46
DO130,15.1,0.11,3.07,17458,633,193,16336,65.25
DO135,13.3,0.21,3.5,19409,673,192,16200,57
DO140,13.3,0.15,4.71,14297,542,134,12736,58.9
DO146,13.8,0.16,2.94,19914,634,134,19348,64.82
DO151,13,0.26,4.47,16519,593,133,16228,66.16
DO156,12.7,0,4.5,18121,606,133,15816,64.92
DO163,13.4,0.3,3.31,15684,580,134,13320,44.39
DO174,13.3,0.33,2.33,16992,617,133,9904,30.63
DO176,12.8,0.06,2.51,19259,599,132,17500,74.33
DO183,13.2,0.16,4.83,14596,565,136,13000,47.43
DO190,13.4,0.32,5.58,12322,532,137,11092,36.16
DO195,13.4,0.42,4.67,12725,536,137,7772,21.77
DO196,12.5,0.26,4.45,11012,625,137,6856,21.87
DO200,13.2,0.44,4.75,10305,485,137,9428,34.42
DO202,14.5,0.13,5.22,12202,545,137,11508,54.82
DO206,12.9,0.26,4.4,12143,559,137,11408,34.97
