,역명,날짜,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,00~01,01~02
,서울역(150),2016-11-01,승차,476,578,"1,846","3,602","2,562","2,281","2,846","3,257","2,801","2,540","3,634","3,844","4,968","9,447","5,290","3,746","3,686","2,216","1,256",172,1
(B2,서울역(150),2016-11-01,하차,282,"1,907","5,040","10,619","5,320","2,991","2,406","2,502","2,424","2,433","2,584","2,491","2,860","3,643","2,467","1,738","1,594","1,419",669,264,28
(B2,서울역(150),2016-11-02,승차,478,551,"1,852","3,376","2,667","2,372","2,940","3,256","2,923","2,577","3,839","4,274","5,696","10,289","5,132","3,623","3,798","2,370","1,346",189,0
(B2,서울역(150),2016-11-02,하차,276,"1,892","4,743","10,843","5,381","2,882","2,358","2,491","2,728","2,808","2,832","2,851","3,232","4,039","2,824","1,785","1,531","1,544",739,366,21
(B2,서울역(150),2016-11-03,승차,467,585,"1,867","3,462","2,664","2,373","2,967","3,414","3,237","2,727","3,683","3,822","5,245","9,915","5,505","3,835","4,196","2,754","1,480",223,0
(B2,서울역(150),2016-11-03,하차,297,"1,870","4,961","11,025","5,225","3,000","2,422","2,381","2,437","2,439","2,655","2,895","3,227","3,990","2,787","1,982","1,773","1,553",803,400,18
(B2,서울역(150),2016-11-04,승차,498,547,"1,839","3,539","2,810","2,536","3,248","3,780","3,566","3,028","4,920","5,382","6,338","11,612","5,979","4,182","4,675","4,622","2,235",367,0
(B2,서울역(150),2016-11-04,하차,292,"1,834","4,727","10,303","5,306","2,989","2,639","2,866","3,028","3,108","3,445","3,788","4,067","5,452","3,989","2,506","2,266","1,995","1,075",539,35
(B2,서울역(150),2016-11-05,승차,609,534,993,"2,651","3,274","3,247","4,545","5,117","4,817","3,827","5,872","5,292","5,641","5,313","5,306","3,656","4,254","3,573","1,327",81,0
(B2,서울역(150),2016-11-05,하차,239,"2,389","2,173","2,609","3,660","3,710","2,925","4,315","4,005","4,240","4,064","4,552","4,461","4,588","3,551","3,076","2,865","1,888","1,288",326,0
(B2,서울역(150),2016-11-06,승차,467,395,613,"1,244","1,883","2,321","2,983","3,214","3,039","2,705","4,614","4,780","3,997","4,193","3,430","2,907","4,318","3,628","1,423",47,0
(B2,서울역(150),2016-11-06,하차,205,"1,146","1,305","1,534","2,045","2,329","2,233","2,625","2,971","3,236","3,445","3,810","3,933","3,693","3,140","2,285","1,960","1,305",583,161,0
(B2,서울역(150),2016-11-07,승차,567,645,"2,695","4,335","2,836","2,438","3,194","3,493","2,980","2,484","3,807","3,673","4,861","9,777","5,121","3,713","3,582","2,482","1,269",224,0
(B2,서울역(150),2016-11-07,하차,400,"2,489","5,080","11,011","5,266","2,809","2,418","2,383","2,538","2,424","2,678","2,735","2,878","4,008","2,655","1,874","1,556","1,368",721,242,13
,서울역(150),2016-11-08,승차,481,571,"1,917","3,688","2,678","2,279","2,991","3,270","2,874","2,551","3,575","3,682","4,874","9,876","5,458","3,636","3,584","2,396","1,189",165,0
,서울역(150),2016-11-08,하차,330,"1,917","4,790","10,913","5,406","2,845","2,345","2,316","2,657","2,478","2,573","2,709","3,052","3,826","2,618","1,727","1,561","1,412",707,274,21
,서울역(150),2016-11-09,승차,472,559,"1,859","3,570","2,584","2,222","2,818","3,206","2,925","2,603","3,491","3,879","5,103","10,395","5,191","3,497","3,824","2,431","1,267",203,0
,서울역(150),2016-11-09,하차,312,"1,877","4,823","10,531","5,391","2,959","2,168","2,346","2,592","2,478","2,341","2,981","3,000","3,917","2,608","1,786","1,633","1,558",716,333,23
,서울역(150),2016-11-10,승차,446,590,"1,723","3,791","2,661","2,395","2,932","3,540","3,035","2,608","4,141","4,763","4,935","9,964","5,626","3,824","4,457","2,904","1,547",245,0
,서울역(150),2016-11-10,하차,284,"1,870","4,741","10,726","5,646","3,071","2,431","2,481","2,585","2,970","2,760","3,136","3,265","4,083","2,822","1,959","1,571","1,689",807,369,35
,서울역(150),2016-11-11,승차,426,529,"1,845","3,539","2,828","2,621","3,561","4,174","3,414","3,106","5,092","5,380","6,429","11,946","6,077","4,329","4,584","4,641","2,615",372,0
,서울역(150),2016-11-11,하차,285,"1,755","4,484","10,413","5,393","3,393","2,592","2,944","3,245","3,219","3,602","4,008","4,109","5,403","4,196","2,522","2,263","2,107","1,204",571,52
,서울역(150),2016-11-12,승차,619,505,755,"2,609","3,241","3,426","4,482","5,694","5,758","4,822","7,400","7,545","7,760","7,269","6,407","6,983","8,035","6,974","2,830",288,0
,서울역(150),2016-11-12,하차,265,"2,052","1,918","2,680","4,113","3,380","3,536","4,341","4,536","4,788","6,127","8,074","7,835","7,189","5,174","4,576","4,063","3,324","2,025","1,000",0
,서울역(150),2016-11-13,승차,571,384,617,"1,259","2,167","2,449","3,186","3,294","3,494","2,870","4,750","4,612","4,167","3,650","3,351","2,728","3,404","3,436","1,099",44,0
,서울역(150),2016-11-13,하차,281,"1,228","1,191","1,627","2,021","2,330","2,059","2,554","3,204","3,162","3,720","3,766","3,573","3,337","2,855","2,775","1,830","1,328",551,170,0
